Modelo,CV_RMSE_medio,CV_RMSE_std,MAE,RMSE,R2
Gradient Boosting,42492.53895193551,386.64523343553697,29476.490832741707,43073.90682037235,0.8139239706966608
Random Forest (afinado),44825.207930356744,724.4850392194597,31079.873935005915,46004.02773838532,0.7877471087277267
Random Forest,45209.60185103454,337.82945818944876,30680.431907242695,46164.637249851316,0.7862624847867954
Regresión Lineal,59923.28351556706,900.2225689794873,45199.37253158248,61863.89438995721,0.616172212061554
Árbol de Decisión,64220.94778646408,767.8519573006287,42098.247013977125,63420.58928503417,0.5966124895045395
